Player,College,Predicted Slot,Percentile
Makai Lemon,USC,39.74,0.6
Carnell Tate,OHIO STATE,56.79,3.09
Jordyn Tyson,ARIZONA ST,59.21,3.09
Chris Brazzell II,TENNESSEE,61.63,4.42
Brenen Thompson,MISS STATE,68.54,6.36
Eric McAlister,TCU,69.55,6.48
Jordan Hudson,SMU,70.09,6.64
Denzel Boston,WASHINGTON,74.29,8.62
Elijah Sarratt,INDIANA,78.13,10.51
Emmanuel Henderson Jr.,KANSAS,80.84,11.82
KC Concepcion,TEXAS A&M,82.06,12.85
Cooper Barkate,DUKE,83.2,12.98
Ja'Kobi Lane,USC,83.96,13.58
Omar Cooper Jr.,INDIANA,84.76,14.57
Aaron Anderson,LSU,84.86,14.31
Jacob De Jesus,CAL,85.13,14.67
Andrel Anthony,OKLAHOMA,86.69,15.59
Germie Bernard,ALABAMA,87.44,15.74
Squirrel White,TENNESSEE,87.8,16.43
Lewis Bond,BOSTON COL,89.46,17.03
Chase Roberts,BYU,92.77,19.63
Trent Walker,OREGON ST,94.37,20.87
Antonio Williams,CLEMSON,96.14,22.29
Caleb Douglas,TEXAS TECH,96.54,22.4
Malik Rutherford,GA TECH,96.61,23.56
Hank Beatty,ILLINOIS,97.39,23.72
Harrison Wallace III,OLE MISS,101.07,26.43
Trebor Pena,SYRACUSE,101.45,27.14
Zachariah Branch,GEORGIA,102.21,28.85
Colbie Young,GEORGIA,102.85,28.68
Vinny Anthony II,WISCONSIN,103.16,28.58
Malachi Fields,NOTRE DAME,104.24,26.54
Joseph Manjack IV,TCU,105.1,30.62
Malik Benson,OREGON,105.23,30.75
Chris Bell,LOUISVILLE,106.33,32.48
Malachi Fields,VIRGINIA,106.74,32.32
Dane Key,KENTUCKY,107.57,33.49
De'Zhaun Stribling,OKLA STATE,108.49,34.43
Cyrus Allen,CINCINNATI,108.93,34.74
Kris Hutson,ARIZONA,110.01,35.55
Ryan Davis,UTAH,110.32,36.53
Kris Hutson,WASH STATE,111.71,37.22
Josh Cameron,BAYLOR,113.8,39.89
Will Pauling,WISCONSIN,114.26,40.33
Jalil Farooq,OKLAHOMA,115.39,42.01
CJ Williams,STANFORD,117.71,44.12
Joseph Manjack IV,HOUSTON,119.47,50.32
Eric Rivers,GA TECH,119.78,46.7
Kobe Prentice,BAYLOR,120.65,47.36
Shaleak Knotts,MARYLAND,121.01,48.21
Omari Kelly,MICH STATE,121.78,49.11
Romello Brinson,SMU,126.99,55.34
Ashtyn Hawkins,BAYLOR,129.05,56.94
Caullin Lacy,LOUISVILLE,129.38,57.99
Donavon Greene,WAKE,129.52,57.8
Zavion Thomas,MISS STATE,130.94,59.34
Keelan Marion,MIAMI FL,131.12,59.72
Reggie Virgil,TEXAS TECH,131.38,60.45
CJ Daniels,MIAMI FL,132.98,62.05
O'Mega Blake,ARKANSAS,133.71,62.83
Kendrick Law,KENTUCKY,133.73,62.19
Barion Brown,LSU,133.81,63.21
Barion Brown,KENTUCKY,134.3,63.27
Jeff Caldwell,CINCINNATI,134.54,63.64
J. Michael Sturdivant,UCLA,135.29,64.91
Donaven McCulley,INDIANA,136.07,65.66
Deion Burks,PURDUE,136.78,66.02
Devonte Ross,PENN STATE,137.92,67.97
Deion Burks,OKLAHOMA,138.51,68.71
Cam Ross,VIRGINIA,139.28,69.51
Javin Whatley,ARIZONA,140.84,71.19
Logan Loya,UCLA,140.9,70.96
Noah Thomas,TEXAS A&M,141.58,71.79
Le'Meke Brockington,MINNESOTA,142.87,73.03
Michael Jackson III,PURDUE,144.84,75.01
Raylen Sharpe,ARKANSAS,145.26,75.23
Justus Ross-Simmons,SYRACUSE,146.53,76.48
Wesley Grimes,NC STATE,146.68,76.96
Jahmal Edrine,VIRGINIA,148.45,79.94
DT Sheffield,RUTGERS,149.6,79.09
Donaven McCulley,MICHIGAN,150.44,78.32
Jeff Weimer,W VIRGINIA,151.31,80.63
Jahmal Edrine,PURDUE,154.22,82.42
Kyron Hudson,USC,155.97,83.83
Omari Evans,PENN STATE,156.1,84.05
Jordan Mosley,MISS STATE,158.45,85.43
Jerand Bradley,TEXAS TECH,160.18,86.32
Dillon Bell,GEORGIA,161.51,87.14
Sahmir Hagans,DUKE,161.57,87.12
Octavian Smith Jr.,MARYLAND,162.19,87.43
Sincere Brown,COLORADO,167.56,89.81
Jonathan Brady,CAL,168.34,90.46
Malik McClain,ARIZONA ST,174.04,92.67
Titus Mokiao-Atimalala,UCLA,174.74,92.6
Keontez Lewis,OKLAHOMA,176.16,93.1
Mekhi Mews,HOUSTON,193.16,97.04
Levi Wentz,KANSAS,194.33,97.25
